index,key,value,p-value,test-statistic,critical-values
110,GREE,HIHO,0.00017689543935814895,-4.983015852556573,[-3.94060523 -3.36058133 -3.06139039]
111,GRI,HIHO,0.002022638546985044,-4.365098334958047,[-3.94060523 -3.36058133 -3.06139039]
112,GRYP,HIHO,4.682297082509227e-07,-6.246585766353376,[-3.94060523 -3.36058133 -3.06139039]
113,GTBP,HIHO,0.012879703559018648,-3.816621519783626,[-3.94060523 -3.36058133 -3.06139039]
114,GUTS,HIHO,0.046556628969645464,-3.3636056001807315,[-3.94490422 -3.36294177 -3.06302239]
115,GWAV,HIHO,0.01200761994583794,-3.83924158754326,[-3.94060523 -3.36058133 -3.06139039]
116,HAO,HIHO,0.03029530476382184,-3.5243702973176476,[-3.94060523 -3.36058133 -3.06139039]
117,HCWC,HIHO,8.790157662697866e-20,-11.409445174807939,[-4.05056118 -3.4199449  -3.10226023]
118,HIVE,JEQ,0.018992709006635584,-3.68788865791769,[-3.94060523 -3.36058133 -3.06139039]
119,HIX,JFIN,0.015686154462192233,-3.7520366322945224,[-3.94060523 -3.36058133 -3.06139039]
120,HKIT,JSPRW,0.0174465426183237,-3.7165533765930516,[-3.94060523 -3.36058133 -3.06139039]
121,HLIT,JGH,0.0287411103679659,-3.5433506878752468,[-3.94060523 -3.36058133 -3.06139039]
122,HOND,JFR,0.0005130293823584718,-4.723740489907496,[-4.10270065 -3.44741463 -3.12105306]
123,HOVR,JSPRW,2.1651402724743944e-07,-6.396167340858087,[-3.94060523 -3.36058133 -3.06139039]
124,HPK,JGH,0.008358774414165923,-3.953403307254525,[-3.94060523 -3.36058133 -3.06139039]
125,HSCSW,JSPRW,8.075017888867628e-06,-5.669982940856203,[-3.94060523 -3.36058133 -3.06139039]
126,HSPOR,JSPRW,0.012166554429690528,-3.835012771554351,[-3.94060523 -3.36058133 -3.06139039]
127,HSPOW,JSPRW,0.0004421780827028758,-4.760816167083187,[-3.94060523 -3.36058133 -3.06139039]
128,HTH,IRDM,0.03822353380431702,-3.4387663080444244,[-3.94060523 -3.36058133 -3.06139039]
129,HUSA,JSPRW,0.01362076730706286,-3.798443064993231,[-3.94060523 -3.36058133 -3.06139039]
130,HWH,JSPRW,1.9473119269928837e-12,-8.470955590804053,[-3.94060523 -3.36058133 -3.06139039]
131,HYMCL,JSPRW,0.002129079637430979,-4.35103511539716,[-3.94060523 -3.36058133 -3.06139039]
132,HZO,IRDM,0.009315826839517032,-3.9196949203106324,[-3.94060523 -3.36058133 -3.06139039]
133,IBG,JSPRW,0.004204507608278754,-4.159052966618024,[-4.07007462 -3.43027362 -3.10933503]
134,ICAD,JSPRW,0.012889584037569212,-3.816373121773028,[-3.94060523 -3.36058133 -3.06139039]
135,IH,JSPRW,0.0190607000813286,-3.686675603629527,[-3.94060523 -3.36058133 -3.06139039]
136,IHS,ISPO,0.021259276671605744,-3.649348241152831,[-3.94060523 -3.36058133 -3.06139039]
137,IMMX,JSPRW,0.015889741805982495,-3.7477590969359182,[-3.94060523 -3.36058133 -3.06139039]
138,IMRN,JSPRW,0.012207219893154656,-3.8339386600187284,[-3.94060523 -3.36058133 -3.06139039]
139,IMUX,JSPRW,0.04231284590496002,-3.400338870157914,[-3.94060523 -3.36058133 -3.06139039]
140,INSE,JOF,0.02685379188076882,-3.567617047378363,[-3.94060523 -3.36058133 -3.06139039]
141,INTJ,JSPRW,0.0010324745052542206,-4.544860797558649,[-3.9528973  -3.36732155 -3.06604902]
142,INTS,JEQ,0.019503377145041575,-3.678868686395028,[-3.94060523 -3.36058133 -3.06139039]
143,IRBT,JOF,1.1131610306865263e-07,-6.523353412132624,[-3.94060523 -3.36058133 -3.06139039]
144,IROHU,JFR,0.001179403791640232,-4.50994015073649,[-3.94060523 -3.36058133 -3.06139039]
145,ISPO,JEQ,3.164169898256204e-05,-5.375933668681727,[-3.94060523 -3.36058133 -3.06139039]
146,JFBRW,JSPRW,0.005380857495260195,-4.086722166939909,[-3.94060523 -3.36058133 -3.06139039]
147,KAPA,NAKA,1.755804369010588e-10,-7.693908221125228,[-4.05056118 -3.4199449  -3.10226023]
148,KITTW,NAKA,0.009639773631920449,-3.9089869509799255,[-3.97249425 -3.37801105 -3.07342757]
149,KLTOW,NAKA,3.6947645281180678e-06,-5.832675579655667,[-3.97249425 -3.37801105 -3.07342757]
150,KTTAW,NAKA,0.007106686567863903,-4.003180075625132,[-3.97249425 -3.37801105 -3.07342757]
151,LFT,NAKA,0.047880242546612675,-3.352717246802137,[-3.97249425 -3.37801105 -3.07342757]
152,LION,MSC,0.04315658064380678,-3.392799165544556,[-3.94060523 -3.36058133 -3.06139039]
153,LPA,MRNO,0.0033087314221059813,-4.2278495767718365,[-3.94060523 -3.36058133 -3.06139039]
154,LPAAW,NAKA,0.03998739710596426,-3.4217887793149964,[-4.03325735 -3.41073608 -3.09594363]
155,LPBBW,NAKA,0.006733568562674892,-4.019548251363055,[-4.49398399 -3.6425588  -3.25257971]
156,LPTX,NAKA,0.003848119935809759,-4.1846467431038,[-3.97249425 -3.37801105 -3.07342757]
157,LSH,NAKA,0.0003186481245322182,-4.841488446823746,[-3.98404804 -3.3842816  -3.07775039]
158,LUCK,MRC,0.044726654401065,-3.3790894478363054,[-3.94060523 -3.36058133 -3.06139039]
159,LUCYW,NAKA,1.3497899201160244e-11,-8.139051364470994,[-3.97249425 -3.37801105 -3.07342757]
160,MBAV,MRNO,0.002557173019257045,-4.300353831616891,[-4.0622052  -3.42611528 -3.10648798]
161,MBAVU,MRNO,1.1622298583967671e-06,-6.0670019771617,[-4.00378481 -3.39494029 -3.08508909]
162,MBINM,MSBIP,0.0049196855465673305,-4.1131771437488025,[-3.94060523 -3.36058133 -3.06139039]
163,MEGL,NAKA,0.012254717965186637,-3.832688092252776,[-3.97249425 -3.37801105 -3.07342757]
164,METCL,MSBIP,0.033785261341801875,-3.484599342364995,[-3.94060523 -3.36058133 -3.06139039]
165,MFAN,MSBIP,0.04947392053560713,-3.33993222752298,[-3.94344832 -3.36214276 -3.06247002]
166,MFI,NAKA,8.394452828079033e-06,-5.661810571450382,[-3.97249425 -3.37801105 -3.07342757]
167,MGIH,NAKA,1.2226608859792384e-08,-6.935270221346211,[-3.97249425 -3.37801105 -3.07342757]
168,MITQ,NAKA,8.721232614938171e-11,-7.816083050455425,[-3.97249425 -3.37801105 -3.07342757]
169,MLEC,NAKA,0.0018240331736380823,-4.393278615338043,[-3.97249425 -3.37801105 -3.07342757]
170,MLECW,NAKA,1.8195057840187943e-07,-6.429573701170995,[-3.97249425 -3.37801105 -3.07342757]
171,MULN,NAKA,0.00913130056470425,-3.9259444247091766,[-3.97249425 -3.37801105 -3.07342757]
172,NEUP,OPI,0.023732003237581355,-3.6111777505076734,[-3.94060523 -3.36058133 -3.06139039]
173,NEWTG,ONBPP,0.037072453962366206,-3.45020383396438,[-3.97249425 -3.37801105 -3.07342757]
174,NEWTI,ONBPP,0.009675337894522067,-3.9078310857692764,[-3.94060523 -3.36058133 -3.06139039]
175,NKSH,OS,0.029462163914507022,-3.5344386967693304,[-3.99782689 -3.39172972 -3.08287977]
176,NMR,ONL,0.0145675604642537,-3.7764502543325307,[-3.94060523 -3.36058133 -3.06139039]
177,NTCT,OFSSH,0.0216642883486409,-3.6428412224234625,[-3.94060523 -3.36058133 -3.06139039]
178,NVCT,OCCI,0.0040202442382315,-4.172026591824994,[-3.94060523 -3.36058133 -3.06139039]
179,NVVEW,OPI,0.005312886175419567,-4.090488514886422,[-3.94060523 -3.36058133 -3.06139039]
180,NWTNW,OPI,0.005572618351558788,-4.076325000869653,[-3.94060523 -3.36058133 -3.06139039]
181,NYMTI,ONBPP,0.020306795014127632,-3.6650861551122804,[-3.98475411 -3.38466405 -3.07801392]
182,OCC,OSTX,0.0003690076962682873,-4.805534358714087,[-4.00378481 -3.39494029 -3.08508909]
183,OGEN,OPI,0.003740036292909483,-4.192838338937776,[-3.94060523 -3.36058133 -3.06139039]
184,OMH,OPI,0.01292918161388309,-3.8153793180216122,[-3.94060523 -3.36058133 -3.06139039]
185,ONBPO,ONBPP,0.002472325803705323,-4.309741030521485,[-3.94060523 -3.36058133 -3.06139039]
186,ONCY,OPI,0.012729969786008558,-3.820406696201884,[-3.94060523 -3.36058133 -3.06139039]
187,ONL,OSTX,0.018890219334595396,-3.68972439736673,[-4.00378481 -3.39494029 -3.08508909]
188,ONMD,OPI,0.012361992448350484,-3.829879443257976,[-3.94060523 -3.36058133 -3.06139039]
189,PACB,QNRX,0.002851865226855714,-4.269842321367112,[-3.94060523 -3.36058133 -3.06139039]
190,PARA,PHD,0.0013184465718377397,-4.480453452070014,[-3.94060523 -3.36058133 -3.06139039]
191,PARAA,PYT,0.007611075238806483,-3.9822449173904815,[-3.94060523 -3.36058133 -3.06139039]
192,PCF,QS,0.02658619341618534,-3.57117525145226,[-3.94060523 -3.36058133 -3.06139039]
193,PCSA,QNRX,0.04373771132191399,-3.387677182254431,[-3.94060523 -3.36058133 -3.06139039]
194,PENN,PRVA,0.03549667080642902,-3.46635615322687,[-3.94060523 -3.36058133 -3.06139039]
195,PETZ,QNRX,0.00021376901941319815,-4.937935422654751,[-3.94060523 -3.36058133 -3.06139039]
196,PFLT,QVCD,0.009916562691341065,-3.9000899396192246,[-3.94060523 -3.36058133 -3.06139039]
197,PGRE,QS,0.023403447995339857,-3.616045323542036,[-3.94060523 -3.36058133 -3.06139039]
198,PKST,QVCD,0.0032989655314594048,-4.228689840973066,[-3.94060523 -3.36058133 -3.06139039]
199,PLUG,QNRX,0.03412291870218281,-3.4809390837297043,[-3.94060523 -3.36058133 -3.06139039]
200,PMVP,QNRX,0.0006808952900311818,-4.652244465658185,[-3.94060523 -3.36058133 -3.06139039]
201,PRSO,QNRX,0.002979168194549943,-4.257552415844932,[-3.94060523 -3.36058133 -3.06139039]
202,PTHS,QNRX,0.013215115573037142,-3.808282062542219,[-3.94714772 -3.36417226 -3.06387292]
203,PTY,QVCD,0.022858269222687206,-3.6242540952490905,[-3.94060523 -3.36058133 -3.06139039]
204,PWM,QNRX,0.0446741124871088,-3.379541721143142,[-3.94060523 -3.36058133 -3.06139039]
205,PZG,QNRX,0.025076904429233743,-3.5918402831385956,[-3.94060523 -3.36058133 -3.06139039]
206,RAIN,TSHA,3.206334777528093e-10,-7.588219014324311,[-3.94060523 -3.36058133 -3.06139039]
207,RCUS,TRIN,0.008545064817068865,-3.9465794959480047,[-3.94060523 -3.36058133 -3.06139039]
208,REFI,TRIN,0.0009181935051454319,-4.57540152685539,[-3.94060523 -3.36058133 -3.06139039]
209,RETO,TSHA,0.0017280041576519692,-4.4079414464869595,[-3.94060523 -3.36058133 -3.06139039]
210,REVBW,TRUG,0.02058579593541826,-3.6604108722123234,[-3.94060523 -3.36058133 -3.06139039]
211,RFAIR,TSHA,0.001853525079204869,-4.388919172356227,[-3.98694225 -3.38584874 -3.07883012]
212,RFMZ,TRIN,0.04169651470045341,-3.4059260851332818,[-3.94060523 -3.36058133 -3.06139039]
213,RGCO,TSLX,0.0029389882789153006,-4.261378314428559,[-3.94060523 -3.36058133 -3.06139039]
214,RNAZ,SDAWW,0.011023317211794226,-3.8665978673408676,[-3.94060523 -3.36058133 -3.06139039]
215,RNXT,TSHA,0.006525045971635872,-4.029056515042334,[-3.94060523 -3.36058133 -3.06139039]
216,ROIV,TGE,0.03905291939117528,-3.430703261216056,[-4.09169685 -3.44165109 -3.11711613]
217,RR,TSHA,0.003840899716737133,-4.185187348193307,[-3.94060523 -3.36058133 -3.06139039]
