index,key,value,p-value,test-statistic,critical-values
37,BLMZ,CCG,1.2417418854126305e-06,-6.053780294414773,[-3.99782689 -3.39172972 -3.08287977]
38,BLNE,CCG,0.006303024707046025,-4.0394874065512845,[-3.94060523 -3.36058133 -3.06139039]
39,BNAIW,CCG,0.03285947923756881,-3.4947963216092015,[-3.94060523 -3.36058133 -3.06139039]
40,BNRG,CCG,0.0054726119818982386,-4.081705992717389,[-3.94060523 -3.36058133 -3.06139039]
41,BRTX,CCG,0.0047048721720674,-4.126279877764191,[-3.94060523 -3.36058133 -3.06139039]
42,BTBT,BTOC,0.006652239028753715,-4.023224628891801,[-3.96664605 -3.37482819 -3.0712318 ]
43,BTCM,CCG,0.04693446277963378,-3.360471621125362,[-3.94060523 -3.36058133 -3.06139039]
44,BTM,CCG,0.00020913773283695808,-4.943171679668336,[-3.94060523 -3.36058133 -3.06139039]
45,BURU,CCG,0.038326728240224234,-3.4377551294356965,[-3.94060523 -3.36058133 -3.06139039]
46,CAPNR,CCG,0.023781449305668067,-3.6104502496765982,[-4.1503693  -3.47218274 -3.13793544]
47,CARV,CCG,0.017348012156954522,-3.7184544590657387,[-3.94060523 -3.36058133 -3.06139039]
48,CCO,DUO,0.030757045939054744,-3.518891469225241,[-3.94060523 -3.36058133 -3.06139039]
49,CCTG,DUO,3.73029123358681e-08,-6.729078775513842,[-3.94265498 -3.3617072  -3.06216889]
50,CGBDL,DNTH,0.029892527501559712,-3.5292079137127055,[-3.94060523 -3.36058133 -3.06139039]
