,ticker1,ticker2,cashWallet,startDate,endDate,SharesOwnedT1,SharesOwnedT2,percentChange
56,CYCN,DTCK,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
57,DATS,DUO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
58,DATSW,DUO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
59,DAWN,DX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
60,DEVS,DUO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
61,DRMAW,DUO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
62,DSL,DX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
63,DSS,DUO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
64,DSU,DX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
65,DTCK,DUO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
66,ECCX,FTAIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
67,EFR,FVCB,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
68,EIC,ESCA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
69,EIIA,FTAIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
70,ELUT,GAB,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
71,ENIC,FUBO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
72,EP,GAB,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
73,ESPR,FURY,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
74,EXPI,FVCB,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
75,FBRT,FVCB,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
76,FIGS,GAB,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
77,FITBI,FTAIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
78,FRMEP,FTAIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
79,GAUZ,GRFS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
80,GECC,GF,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
81,GECCI,GOODN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
82,GGROW,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
83,GIBOW,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
84,GITS,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
85,GNLX,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
86,GOSS,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
87,GOVX,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
88,GREE,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
89,GRI,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
90,GRYP,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
91,GTBP,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
92,GUTS,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
93,GWAV,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
94,HAO,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
95,HCWC,HIHO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
96,HIVE,JEQ,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
97,HIX,JFIN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
98,HLIT,JGH,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
99,HOND,JFR,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
100,HPK,JGH,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
101,HTH,IRDM,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
102,HZO,IRDM,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
103,IHS,ISPO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
104,INSE,JOF,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
105,INTS,JEQ,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
106,IRBT,JOF,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
107,ISPO,JEQ,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
108,KAPA,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
